,name,num_samples_with_name_in_cap,num_similar_samples,openclip_num_correct_preds,resnet50_num_correct_preds,openclip_percentage_correct_preds,resnet50_percentage_correct_preds,gender,openclip_percentage_correct_preds_bins,resnet50_percentage_correct_preds_bins
40,Melissa_Benoist,104,3900,239,86,0.06128205128205128,0.02205128205128205,f,"(0.0597, 0.0657]","(0.0195, 0.0228]"
41,Miranda_Cosgrove,2051,5700,345,166,0.060526315789473685,0.02912280701754386,f,"(0.0597, 0.0657]","(0.0252, 0.0304]"
42,Valerie_Bertinelli,329,4250,275,142,0.06470588235294118,0.033411764705882356,f,"(0.0597, 0.0657]","(0.0304, 0.0354]"
43,Rachel_Dratch,245,3800,245,129,0.06447368421052632,0.03394736842105263,f,"(0.0597, 0.0657]","(0.0304, 0.0354]"
44,Summer_Glau,334,4950,296,185,0.0597979797979798,0.03737373737373737,f,"(0.0597, 0.0657]","(0.0354, 0.0411]"
45,Swoosie_Kurtz,490,4100,262,164,0.06390243902439025,0.04,f,"(0.0597, 0.0657]","(0.0354, 0.0411]"
46,Lauralee_Bell,113,3200,227,6,0.0709375,0.001875,f,"(0.0657, 0.0722]","(-0.001, 0.00233]"
47,Chyler_Leigh,103,3050,218,11,0.07147540983606557,0.0036065573770491803,f,"(0.0657, 0.0722]","(0.00233, 0.00403]"
48,Mary_Beth_Evans,110,2050,144,41,0.0702439024390244,0.02,f,"(0.0657, 0.0722]","(0.0195, 0.0228]"
49,Sarah_Chalke,150,3950,282,139,0.07139240506329114,0.03518987341772152,f,"(0.0657, 0.0722]","(0.0304, 0.0354]"
