,name,num_samples_with_name_in_cap,num_similar_samples,openclip_num_correct_preds,resnet50_num_correct_preds,openclip_percentage_correct_preds,resnet50_percentage_correct_preds,gender,openclip_percentage_correct_preds_bins,resnet50_percentage_correct_preds_bins
39,Jeffrey_Tambor,978,4200,438,157,0.10428571428571429,0.03738095238095238,m,"(0.103, 0.112]","(0.0354, 0.0411]"
40,Jason_Bateman,1698,5200,545,506,0.10480769230769231,0.0973076923076923,m,"(0.103, 0.112]","(0.0867, 0.103]"
41,Joshua_Jackson,1116,5100,558,648,0.10941176470588235,0.12705882352941175,m,"(0.103, 0.112]","(0.123, 0.144]"
42,John_Malkovich,644,3500,406,19,0.116,0.0054285714285714284,m,"(0.112, 0.12]","(0.00403, 0.00819]"
43,Jack_Nicholson,438,2950,348,182,0.11796610169491525,0.06169491525423729,m,"(0.112, 0.12]","(0.0585, 0.0665]"
44,Jeremy_Sisto,277,2400,272,176,0.11333333333333333,0.07333333333333333,m,"(0.112, 0.12]","(0.0665, 0.0785]"
45,Adam_Sandler,1374,3600,421,268,0.11694444444444445,0.07444444444444444,m,"(0.112, 0.12]","(0.0665, 0.0785]"
46,Charlie_Sheen,2137,4150,468,347,0.11277108433734939,0.0836144578313253,m,"(0.112, 0.12]","(0.0785, 0.0867]"
47,Steve_Carell,1328,4850,582,500,0.12,0.10309278350515463,m,"(0.112, 0.12]","(0.0867, 0.103]"
48,Peter_Sarsgaard,848,4450,516,517,0.11595505617977528,0.11617977528089887,m,"(0.112, 0.12]","(0.103, 0.123]"
49,Cam_Gigandet,291,4350,557,74,0.12804597701149426,0.017011494252873564,m,"(0.12, 0.129]","(0.0162, 0.0195]"
